mixture_collection	indiv	AK	East	FL	TX	West	na_count	Year	Month	Day	State	nearestCity	countryCode	latitude	longitude
ID	16N2047	1.05917458385969e-07	0.000428049756063763	1.58543831472031e-06	3.2412931698863e-10	0.999570258564036	5	2017	AUG	15	ID	Boise	USA	43.60583	-116.0597
ID	16N2048	3.19269240859806e-10	9.62792511113023e-06	1.25466347684044e-12	1.13953386645594e-16	0.999990371754365	1	2017	AUG	15	ID	Boise	USA	43.60583	-116.0597
ID	16N2049	0.00698344265481602	2.53756010581969e-06	1.88378008513253e-11	1.18534035703696e-10	0.993014019647706	7	2017	AUG	16	ID	Boise	USA	43.60583	-116.0597
ID	16N2050	1.29879185853811e-09	2.02329867762371e-07	4.13307700946225e-13	6.24561654256969e-08	0.999999733914763	1	2017	AUG	17	ID	Boise	USA	43.60583	-116.0597
ID	16N2051	1.98692829822891e-06	0.00247669041762917	6.40289699746067e-08	8.02076577189912e-18	0.997521258625102	1	2017	AUG	17	ID	Boise	USA	43.60583	-116.0597
ID	16N2052	5.40743749298722e-05	0.000250972673882961	4.28657808780625e-11	1.58657786220748e-08	0.999694937042542	3	2017	AUG	18	ID	Boise	USA	43.60583	-116.0597
ID	16N2053	5.11460354824334e-05	0.00155520726098625	1.95296337079284e-11	3.65235083515385e-15	0.998393646683998	7	2017	AUG	18	ID	Boise	USA	43.60583	-116.0597
ID	16N2054	1.20423261409766e-10	0.000296479395830264	1.25369735878766e-09	7.18057002868988e-15	0.99970351923004	11	2017	AUG	18	ID	Boise	USA	43.60583	-116.0597
ID	16N2055	1.19434201735403e-09	8.20813441902999e-07	2.56172826405999e-13	2.37788270025885e-14	0.999999177991937	9	2017	AUG	18	ID	Boise	USA	43.60583	-116.0597
ID	16N2056	1.15430510322727e-06	0.00454074905720235	1.63060098682868e-09	2.82031891727979e-14	0.995458095007064	1	2017	AUG	19	ID	Boise	USA	43.60583	-116.0597
ID	16N2057	0.0214129464593707	9.99292919518781e-07	8.77733298368006e-14	3.48774241358884e-12	0.978586054244132	7	2017	AUG	19	ID	Boise	USA	43.60583	-116.0597
ID	16N2058	1.24563229854298e-05	4.78658700347352e-06	1.26448066108491e-11	3.42009476975204e-15	0.999982757077363	9	2017	AUG	19	ID	Boise	USA	43.60583	-116.0597
ID	16N2059	2.77763324322195e-06	1.47303039746585e-05	1.32048473261181e-11	1.38013184295767e-13	0.999982492049439	5	2017	AUG	19	ID	Boise	USA	43.60583	-116.0597
ID	16N2060	1.20674104128909e-05	0.000472217998491292	2.0478503923076e-09	2.5266199670137e-10	0.999515712290583	9	2017	AUG	19	ID	Boise	USA	43.60583	-116.0597
ID	16N2061	1.8390821528869e-06	0.0172478759776651	0.000274995684671945	4.0943861831163e-06	0.982471194869327	13	2017	AUG	19	ID	Boise	USA	43.60583	-116.0597
ID	16N2062	2.16298721924937e-08	9.93721724629525e-07	1.8625289837824e-10	4.165582181489e-15	0.999998984462148	7	2017	AUG	20	ID	Boise	USA	43.60583	-116.0597
ID	16N2063	2.64287340098682e-08	1.96219899322929e-05	4.77714008519911e-11	1.16792230881356e-12	0.999980351532395	5	2017	AUG	20	ID	Boise	USA	43.60583	-116.0597
ID	16N2064	9.74287185284264e-10	4.77595540670596e-06	2.90122281825604e-10	9.79089403278698e-12	0.999995222770392	1	2017	AUG	21	ID	Boise	USA	43.60583	-116.0597
ID	16N2065	0.0253342289897034	0.208131861124907	8.01911882697334e-08	1.28225309192876e-15	0.7665338296942	3	2017	AUG	21	ID	Boise	USA	43.60583	-116.0597
