"","X.4","X.3","X.2","X.1","X","SampleNo","NACount","NAcountno2","row","PlateNo","WellNo","SampleNo.1","match","Year","Month","Day","State","nearestCity","countryCode","Pop","Lat","Long","BoxID","latitude","longitude","flyway","flyway2","Genetic_Group","Genetic_Group2","yearSampled","monthSampled","daySampled","julianDaySampled","Transmitter","bandNumber","bandmatch","generalSampleType","newOrRecap","observerName","aliveOrDead","nestlingAge","laydateForAnalysis","howLaydateEstimated","sexBird","phaseFAC","stateProv","hallux","tarsus","tail","wing","fatScore","billDepth","culmen","mass","subterminal","cropScore","CG10_top1","CG11_phlpp1","CG12_peak1","CG13_szt2","CG14_cry1","CG15_cpne4","CG2_clock","CG3_nacc2","CG4_cpne4","CG5_scn5a","CG6_lmbr1","CG7_htr2c","CG8_npas2","CG9_npas2","lfmm1","lfmm10","lfmm12","lfmm13","lfmm14","lfmm15","lfmm2","lfmm3","lfmm4","lfmm5","lfmm6","lfmm7","lfmm8","lfmm9","lfmm11","CG1_mybbp1a","D1_80perc","D2__80perc","D3__80perc","D4__80perc","wc2.0_bio_30s_14","wc2.0_bio_30s_13","wc2.0_bio_30s_04","Latcat1","amke_CG10_top1_A","amke_CG11_phlpp1_C","amke_CG12_peak1_T","amke_CG13_szt2_A","amke_CG14_cry1_C","amke_CG15_cpne4_A","amke_CG2_clock_C","amke_CG3_nacc2_G","amke_CG4_cpne4_C","amke_CG5_scn5a_C","amke_CG6_lmbr1_C","amke_CG7_htr2c_T","amke_CG8_npas2_T","amke_CG9_npas2_T","amke_lfmm1_G","amke_lfmm10_A","amke_lfmm12_C","amke_lfmm13_T","amke_lfmm14_G","amke_lfmm15_T","amke_lfmm2_A","amke_lfmm3_T","amke_lfmm4_G","amke_lfmm5_G","amke_lfmm6_A","amke_lfmm7_A","amke_lfmm8_T","amke_lfmm9_T","amke_lfmm11","amke_CG1_mybbp1a_G","D1","D2","D3","D4"
"1",1,1,1,1023,1023,"17N02649",0,0,972,"5","G3","17N02649",FALSE,2017,"JUL",17,"AB","AB1","CAN",1,56.049167,-117.121111,NA,56.049167,-117.121111,"west","west","west","west",2017,"JUL",17,198,0,"178337405",FALSE,"Feathers","New","Mitchell Warne","Live",21,137,"Based on nestling age","Female","Nestling","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,1,0,0,0,0,0,1,0,2,0,1,1,1,1,0,2,0,1,1,0,2,2,2,2,0,0,0,1.46200577,-0.22145695,0.539189487,0.188069434,15,67,1226.056745,"(43.7,67.6]",2,0,2,1,0,0,0,0,0,1,0,2,0,1,1,1,1,0,2,0,1,1,0,2,2,2,2,0,0,0,1.69159570565527,0.503071416056092,0.287763141298289,-0.77846594807932
"2",2,2,2,1022,1022,"18N00273",0,0,98,"AMKE_B1","A4","18N00273",FALSE,2018,"JUN",5,"AB","AB1","CAN",1,56.0733,-117.2031,"ABX",56.0733,-117.2031,"west","west","west","west",2018,"JUN",5,156,0,"178337445",FALSE,"Feathers","New","Anjolene Hunt","Live",NA,146,"Based on day full clutch found (Banding date). No hatch or nestling data available","Female","Breeding","AB",NA,NA,"126","187",NA,NA,"12.11",NA,NA,NA,0,0,0,0,0,1,0,0,0,1,2,1,1,2,0,2,1,1,2,1,1,0,0,0,0,0,2,0,2,0,-1.014455022,1.80307239,0.520025766,-0.447128271,14,67,1203.609077,"(43.7,67.6]",0,0,0,0,0,1,0,0,0,1,2,1,1,2,0,2,1,1,2,1,1,0,0,0,0,0,2,0,2,0,-1.15230083976533,2.77849901936246,1.00340204517176,-2.4644256582117
"3",3,3,3,1006,1006,"17N02647",1,1,970,"5","G1","17N02647",FALSE,2017,"JUL",7,"AB","AB1","CAN",1,56.108889,-117.348056,NA,56.108889,-117.348056,"west","west","west","west",2017,"JUL",7,188,0,"183310396",FALSE,"Feathers","New","Mitchell Warne","Live",24,124,"Based on nestling age","Female","Nestling","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,1,0,0,1,0,0,1,2,1,0,0,1,1,1,1,0,1,1,2,2,2,NA,2,2,2,1,1.056079506,0.364291423,-2.580293432,0.263579741,15,68,1206.195106,"(43.7,67.6]",2,0,2,0,1,0,0,1,0,0,1,2,1,0,0,1,1,1,1,0,1,1,2,2,2,NA,2,2,2,1,1.55449434352727,0.67652486078902,-1.80098563004181,1.94160466601987
"4",4,4,4,1005,1005,"18N00366",0,0,100,"AMKE_B1","A6","18N00366",FALSE,2018,"JUN",6,"AB","AB1","CAN",1,56.10889,-117.34808,"AB97",56.10889,-117.34808,"west","west","west","west",2018,"JUN",6,157,0,"AB97F",FALSE,"Feathers","New","Anjolene Hunt","Live",NA,147,"Based on day full clutch found (Banding date). No hatch or nestling data available","Female","Breeding","AB","9.79","35.34","121","192","2","9.24","13.4","132",NA,"0",1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,2,0,1,0,0,2,0,1.501554438,-0.66618834,-0.04219339,0.363039494,15,68,1206.195106,"(43.7,67.6]",1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,2,0,1,0,0,2,0,0.379252072585412,0.569480537339252,-1.15968897990421,0.526641237384696
"5",5,5,5,1009,1009,"17N02645",0,0,968,"5","F11","17N02645",FALSE,2017,"JUL",17,"AB","AB1","CAN",1,56.116111,-117.342778,NA,56.116111,-117.342778,"west","west","west","west",2017,"JUL",17,198,0,"183310385",FALSE,"Feathers","New","Mitchell Warne","Live",29,129,"Based on nestling age","Male","Nestling","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,2,0,1,0,0,0,0,1,2,0,0,1,1,1,0,1,1,1,0,1,1,0,1,2,1,0,0,1.454248627,-0.087349914,0.991487868,0.118217367,15,68,1206.195106,"(43.7,67.6]",2,0,2,2,0,1,0,0,0,0,1,2,0,0,1,1,1,0,1,1,1,0,1,1,0,1,2,1,0,0,1.51732195698998,0.407221922570253,1.15833983762624,0.0063495467238692
"6",6,6,6,1014,1014,"17N02654",0,0,977,"5","G8","17N02654",FALSE,2017,"AUG",7,"AB","AB1","CAN",1,56.116111,-117.317778,NA,56.116111,-117.317778,"west","west","west","west",2017,"AUG",7,219,0,"-99926",FALSE,"Feathers","New","Mitchell Warne","Live",30,149,"Based on nestling age","Male","Nestling","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,0,0,0,0,0,0,0,2,1,1,1,2,1,0,1,1,1,0,0,1,2,2,1,0,0,1,0.92974932,-1.441665938,-0.368246788,1.942630281,15,68,1217.554068,"(43.7,67.6]",2,2,2,1,0,0,0,0,0,0,0,2,1,1,1,2,1,0,1,1,1,0,0,1,2,2,1,0,0,1,1.17022392852899,-1.62800192613992,0.618481604802293,0.166639929134998
"7",7,7,7,1002,1002,"18N00359",0,0,96,"AMKE_B1","A2","18N00359",FALSE,2018,"JUN",5,"AB","AB1","CAN",1,56.11613,-117.35115,"AB01",56.11613,-117.35115,"west","west","west","west",2018,"JUN",5,156,0,"AB01M",FALSE,"Feathers","New","Anjolene Hunt","Live",NA,146,"Based on day full clutch found (Banding date). No hatch or nestling data available","Male","Breeding","AB","9.09","33.65","120","176","1","8.65","11.57","106","19","0",0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,2,0,1,1,0,1,2,1,1,0,1,1,2,0,-0.001945291,-0.19180342,1.322797407,0.06896269,15,68,1204.135151,"(43.7,67.6]",0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,2,0,1,1,0,1,2,1,1,0,1,1,2,0,-0.446163644175709,0.323301493996059,1.10441658198453,0.577000462935455
"8",8,8,8,1003,1003,"18N00358",4,4,218,"AMKE_B2","C6","18N00358",FALSE,2018,"JUN",6,"AB","AB1","CAN",1,56.11613,-117.35115,"AB01",56.11613,-117.35115,"west","west","west","west",2018,"JUN",6,157,0,"AB01F",FALSE,"Feathers","New","Jesse Watson","Live",NA,147,"Based on day full clutch found (Banding date). No hatch or nestling data available","Female","Breeding","AB","9.85","35.77","127","199","1","9.27","11.85","135",NA,"0",1,NA,NA,NA,0,0,2,0,0,NA,0,0,0,2,0,0,1,0,0,2,0,1,0,0,2,0,2,2,2,0,0.840008442,-1.170784995,0.419254696,-0.811774682,15,68,1204.135151,"(43.7,67.6]",1,NA,NA,NA,0,0,2,0,0,NA,0,0,0,2,0,0,1,0,0,2,0,1,0,0,2,0,2,2,2,0,0.0514446637681365,0.0248681425482882,0.148097503193301,-0.969184895864577
"9",9,9,9,1008,1008,"18N00367",0,0,95,"AMKE_B1","A1","18N00367",FALSE,2018,"JUN",6,"AB","AB1","CAN",1,56.11613,-117.3435,"AB98",56.11613,-117.3435,"west","west","west","west",2018,"JUN",6,157,0,"AB98F",FALSE,"Feathers","New","Anjolene Hunt","Live",NA,147,"Based on day full clutch found (Banding date). No hatch or nestling data available","Female","Breeding","AB","9.27","35.57","120","183","0","9.01","11.95","120",NA,"0",1,0,1,1,0,0,1,0,0,2,0,1,1,0,2,1,0,1,0,2,0,1,1,0,2,2,2,0,2,1,1.466393166,-0.60690266,0.876928798,-0.543822882,15,68,1206.195106,"(43.7,67.6]",1,0,1,1,0,0,1,0,0,2,0,1,1,0,2,1,0,1,0,2,0,1,1,0,2,2,2,0,2,1,0.38089476969388,0.395129329296351,-0.0025545637297202,-0.84843519589368
"10",10,10,10,1015,1015,"18N00368",0,0,99,"AMKE_B1","A5","18N00368",FALSE,2018,"JUN",6,"AB","AB1","CAN",1,56.11636,-117.31596,"AB99",56.11636,-117.31596,"west","west","west","west",2018,"JUN",6,157,0,"AB99F",FALSE,"Feathers","New","Anjolene Hunt","Live",NA,147,"Based on day full clutch found (Banding date). No hatch or nestling data available","Female","Breeding","AB","10.88","35.53","120","193","1","9.51","12.34","135",NA,"0",0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,0,1,1,1,0,1,2,0,1,2,0,2,0,-1.08584407,1.429834459,-0.098727307,-0.537064056,15,68,1221.718491,"(43.7,67.6]",0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,0,1,1,1,0,1,2,0,1,2,0,2,0,-1.21672793135553,1.03819097926968,1.22268184322019,0.170771461368761
